1,1,4,881250000
1,2,3,881250001
1,3,5,881250002
2,1,3,881250003
2,4,4,881250004
2,5,2,881250005
3,2,4,881250006
3,6,5,881250007
3,7,1,881250008
4,3,3,881250009
4,8,4,881250010
4,1,5,881250011
5,4,2,881250012
5,9,3,881250013
5,10,4,881250014
6,5,5,881250015
6,2,3,881250016
6,6,4,881250017
7,7,2,881250018
7,3,4,881250019
7,8,3,881250020
8,9,5,881250021
8,1,4,881250022
8,4,3,881250023
9,10,2,881250024
9,5,4,881250025
9,2,5,881250026
10,6,3,881250027
10,7,4,881250028
10,1,5,881250029
11,8,2,881250030
11,3,3,881250031
11,9,4,881250032
12,4,5,881250033
12,10,3,881250034
12,2,4,881250035
13,5,2,881250036
13,6,5,881250037
13,1,3,881250038
14,7,4,881250039
14,8,5,881250040
14,3,2,881250041
15,9,3,881250042
15,4,4,881250043
15,10,5,881250044
16,2,2,881250045
16,5,3,881250046
16,6,4,881250047
17,7,5,881250048
17,1,4,881250049
17,8,3,881250050
18,3,2,881250051
18,9,4,881250052
18,10,3,881250053
19,4,5,881250054
19,2,4,881250055
19,5,3,881250056
20,6,2,881250057
20,7,3,881250058
20,1,5,881250059
1,8,4,881250060
1,9,3,881250061
2,10,2,881250062
2,3,4,881250063
3,4,5,881250064
3,5,3,881250065
4,6,4,881250066
4,7,2,881250067
5,2,5,881250068
5,8,3,881250069
6,9,4,881250070
6,3,5,881250071
7,10,3,881250072
7,4,4,881250073
8,5,2,881250074
8,6,5,881250075
9,7,4,881250076
9,1,3,881250077
10,8,5,881250078
10,2,4,881250079
11,9,3,881250080
11,4,2,881250081
12,5,4,881250082
12,6,3,881250083
13,7,5,881250084
13,10,4,881250085
14,2,3,881250086
14,8,4,881250087
15,3,5,881250088
15,9,2,881250089
16,4,3,881250090
16,10,4,881250091
17,5,5,881250092
17,6,3,881250093
18,7,4,881250094
18,2,3,881250095
19,8,5,881250096
19,3,4,881250097
20,9,3,881250098
20,4,5,881250099
